window_size,1,4,9,16,25,36,49,64,81,100
SNR,0.652356902,1.304713805,1.957070707,2.609427609,3.261784512,3.914141414,4.566498316,5.218855219,5.871212121,6.523569024
signal_magnitude,1550,3100,4650,6200,7750,9300,10850,12400,13950,15500
noise_magnitude,99,99,99,99,99,99,99,99,99,99
