1	-0.27692
2	-0.24896
3	-0.14128
4	-0.2564
5	-0.01832
6	-0.02976
7	-0.30812
8	-0.14356
9	-0.20384
10	-0.17932
11	-0.0416
12	-0.09272
13	-0.03252
14	-0.0738
15	-0.08332
16	0.26972
17	0.4792
18	-0.15324
19	0.08184
20	-0.54336
21	0.129
22	-0.27388
23	-0.05496
24	0.06812
25	-0.41784
26	-0.025
27	0.1222
28	0.34844
29	-0.33736
30	0.10256
31	0.17752
32	0.11576
33	0.18848
34	-0.14976
35	0.34436
36	0.07412
37	-0.11144
38	0.04084
39	0.3064
40	0.1864
41	-0.12012
42	-0.2654
43	0.14664
44	-0.03896
45	0.04036
46	0.20004
47	-0.07312
48	-0.03236
49	-0.14792
50	0.20072
51	1.87452
52	2.02864
53	2.31812
54	2.12908
55	1.64848
56	2.5222
57	2.09596
58	2.14888
59	1.90428
60	1.92676
61	2.21724
62	2.20132
63	1.91652
64	2.06292
65	2.06312
66	2.27324
67	1.86788
68	2.01916
69	2.31288
70	2.01764
71	2.29624
72	1.89328
73	1.9848
74	2.1836
75	1.6044
76	-0.13524
77	-0.12456
78	-0.1124
79	-0.11104
80	0.0702
81	0.19716
82	-0.16528
83	-0.0348
84	0.04904
85	-0.19
86	-0.01904
87	-0.15872
88	-0.15988
89	0.1278
90	0.03016
91	0.1314
92	0.02996
93	-0.0382
94	0.02072
95	-0.13868
96	-0.1498
97	-0.08088
98	-0.1806
99	0.28336
100	-0.01124
